"timeindex" "Y" "nsmY" "x" "y"
355 -0.373322515484233 0.0550458068117917 355 -0.428368322296025
356 -0.43743690023722 -0.0121775949402511 356 -0.425259305296969
357 -0.513697592635396 -0.0915519343537542 357 -0.422145658281642
358 -0.463985668070991 -0.0449582719925088 358 -0.419027396078482
359 -0.496384119133384 -0.0804795856517609 359 -0.415904533481623
360 -0.444761632737471 -0.0319845474870301 360 -0.412777085250441
361 -0.56666694004654 -0.157021873937389 361 -0.409645066109151
362 -0.388550547541166 0.0179579432052634 362 -0.406508490746429
363 -0.712691623923318 -0.309324250108224 363 -0.403367373815094
364 -0.251252631353005 0.148969098578787 364 -0.400221729931792
365 -0.433664154534906 -0.0365925808581541 365 -0.397071573676752
366 -0.577553979990901 -0.183637060397344 366 -0.393916919593557
367 -0.369031612286754 0.0217261699022059 367 -0.39075778218896
368 -0.54335006220038 -0.15575588626764 368 -0.38759417593274
369 -0.485973178839247 -0.101547063581656 369 -0.384426115257591
370 -0.416344675784017 -0.0350910612249575 370 -0.38125361455906
371 -0.415499695329582 -0.0374230071340871 371 -0.378076688195495
372 -0.228144718858996 0.146750631629078 372 -0.374895350488074
373 -0.312416720623422 0.0592928950974174 373 -0.371709615720839
374 -0.341944991362717 0.0265745067780553 374 -0.368519498140772
375 -0.378556225178473 -0.0132312132205409 375 -0.365325011957932
376 -0.585243029846622 -0.223116858501026 376 -0.362126171345596
377 -0.459882623936347 -0.100959633495872 377 -0.358922990440475
378 -0.293735920650333 0.0619795626926052 378 -0.355715483342938
379 -0.384791037191213 -0.0322873730739194 379 -0.352503664117294
380 -0.366382270934631 -0.0170947241425294 380 -0.349287546792102
381 -0.558282473436353 -0.212215328075826 381 -0.346067145360527
382 -0.40342575878273 -0.0605832850020006 382 -0.342842473780729
383 -0.44847172611172 -0.108858180135429 383 -0.339613545976291
384 -0.303443581104702 0.0329367947319901 384 -0.336380375836692
385 -0.321163824740608 0.0119791524771995 385 -0.333142977217808
386 -0.2330768024834 0.0968245614590557 386 -0.329901363942456
387 -0.395968837495668 -0.0693132876946833 387 -0.326655549800985
